19	5	3	5	1
18	3	4	5	1
8	3	4	3	1
19	3	3	5	1
18	5	4	5	1
11	4	4	3	0
24	3	2	5	0
15	3	2	4	0
23	4	4	5	0
22	4	5	6	0
26	2	4	6	0
26	2	5	6	0
3	4	6	7	0
19	2	5	7	1
7	3	2	5	1
26	4	4	2	0
26	4	7	3	0
26	2	7	6	0
12	3	6	2	0
26	4	4	4	1
14	4	5	6	0
26	2	5	4	0
26	2	6	6	0
26	5	7	4	0
26	4	4	3	0
26	4	4	2	0
26	5	4	3	1
26	3	2	4	0
26	2	3	5	0
26	4	7	5	0
26	4	2	4	1
18	3	3	5	1
26	5	3	5	1
26	5	4	6	1
8	2	6	3	1
19	2	5	7	1
18	5	4	5	1
8	3	4	3	1
7	3	2	5	1
19	5	5	7	1
18	2	4	5	1
8	3	2	3	1
7	3	6	5	1
26	4	5	7	0
3	2	4	4	0
23	2	2	5	0
26	3	5	6	1
26	4	6	6	1
22	4	4	6	0
2	3	7	7	0
15	2	5	6	0
26	4	6	6	1
26	4	4	2	0
8	2	4	3	1
26	3	6	2	0
26	2	7	3	0
26	4	5	6	1
18	4	4	5	1
15	5	4	4	0
12	3	7	6	0
22	4	4	6	0
26	4	7	4	0
26	4	3	6	1
7	3	2	5	1
26	2	2	4	0
19	5	5	7	1
18	5	4	5	1
8	3	4	3	1
19	5	4	7	1
18	5	5	5	1
9	3	2	3	1
6	3	6	5	0
23	4	5	7	0
11	5	4	4	0
26	2	2	5	0
23	3	5	6	0
21	2	5	5	0
26	3	2	6	1
15	3	6	4	0
12	4	5	6	0
26	4	4	3	0
26	4	7	2	1
12	2	7	6	0
26	3	6	2	1
26	4	2	5	1
26	5	6	2	0
26	4	5	6	1
26	4	5	6	1
3	4	6	7	0
26	2	5	6	0
