,X,Y
0,0,0
1,0.264678974,0.032498492
2,0.529357948,0.064996983
3,0.794036921,0.097495475
4,1.058715895,0.129993966
5,1.323394869,0.162492458
6,1.588073843,0.194990949
7,1.852752816,0.227489441
8,2.11743179,0.259987933
9,2.382110764,0.292486424
10,2.646789738,0.324984916
11,2.911468711,0.357483407
12,3.176147685,0.389981899
13,3.440826659,0.42248039
14,3.705505633,0.454978882
15,3.970184607,0.487477374
16,4.278927146,0.7407541
17,4.587669686,0.994030827
18,4.896412226,1.247307553
19,5.205154765,1.50058428
20,5.513897305,1.753861006
21,5.822639845,2.007137733
22,6.131382385,2.260414459
23,6.440124924,2.513691186
24,6.748867464,2.766967912
25,7.057610004,3.020244638
26,7.366352543,3.273521365
27,7.675095083,3.526798091
28,7.983837623,3.780074818
29,8.292580162,4.033351544
30,8.601322702,4.286628271
31,8.910065242,4.539904997
32,4.089413852,0.96264566
33,4.208643097,1.437813945
34,4.327872341,1.912982231
35,4.447101586,2.388150517
36,4.566330831,2.863318802
37,4.685560076,3.338487088
38,4.80478932,3.813655373
39,4.924018565,4.288823659
40,5.04324781,4.763991945
41,5.162477055,5.23916023
42,5.281706299,5.714328516
43,5.400935544,6.189496802
44,5.520164789,6.664665087
45,5.639394034,7.139833373
46,5.758623278,7.615001658
47,5.877852523,8.090169944
