x,y
0.001,0.001
0.05084208,0.114193182
0.101684161,0.228386364
0.152526241,0.342579547
0.203368322,0.456772729
0.254210402,0.570965911
0.305052482,0.685159093
0.355894563,0.799352275
0.406736643,0.913545458
0.457578723,1.02773864
0.508420804,1.141931822
0.559262884,1.256125004
0.610104965,1.370318186
0.660947045,1.484511369
0.711789125,1.598704551
0.813473286,1.827090915
0.827961495,2.334473918
0.842449704,2.84185692
0.856937914,3.349239922
0.871426123,3.856622925
0.885914332,4.364005927
0.900402541,4.87138893
0.91489075,5.378771932
0.929378959,5.886154934
0.943867169,6.393537937
0.958355378,6.900920939
0.972843587,7.408303942
0.987331796,7.915686944
1.001820005,8.423069946
1.016308214,8.930452949
1.030796424,9.437835951
1.045284633,9.945218954
