,X,Y
0,0.001,0.001
1,0.17,0.08
2,0.34,0.15
3,0.51,0.23
4,0.69,0.31
5,0.86,0.38
6,1.03,0.46
7,1.2,0.53
8,1.37,0.61
9,1.54,0.69
10,1.71,0.76
11,1.88,0.84
12,2.06,0.92
13,2.23,0.99
14,2.4,1.07
15,2.74,1.22
16,3.06,1.54
17,3.37,1.85
18,3.68,2.17
19,4,2.49
20,4.31,2.81
21,4.63,3.12
22,4.94,3.44
23,5.26,3.76
24,5.57,4.07
25,5.88,4.39
26,6.2,4.71
27,6.51,5.02
28,6.83,5.34
29,7.14,5.66
30,7.46,5.98
31,7.77,6.29
32,2.74,1.74
33,2.74,2.27
34,2.74,2.79
35,2.74,3.32
36,2.75,3.84
37,2.75,4.37
38,2.75,4.89
39,2.75,5.42
40,2.75,5.94
41,2.75,6.47
42,2.75,6.99
43,2.75,7.51
44,2.75,8.04
45,2.75,8.56
46,2.76,9.09
47,2.76,9.61
