x (miles),y (miles)
5.877852523,8.090169944
5.758623278,7.615001658
5.639394034,7.139833373
5.520164789,6.664665087
5.400935544,6.189496802
5.281706299,5.714328516
5.162477055,5.23916023
5.04324781,4.763991945
4.924018565,4.288823659
4.80478932,3.813655373
4.685560076,3.338487088
4.566330831,2.863318802
4.447101586,2.388150517
4.327872341,1.912982231
4.208643097,1.437813945
4.089413852,0.96264566
3.970184607,0.487477374
4.278927146,0.7407541
4.587669686,0.994030827
4.896412226,1.247307553
5.205154765,1.50058428
5.513897305,1.753861006
5.822639845,2.007137733
6.131382385,2.260414459
6.440124924,2.513691186
6.748867464,2.766967912
7.057610004,3.020244638
7.366352543,3.273521365
7.675095083,3.526798091
7.983837623,3.780074818
8.292580162,4.033351544
8.601322702,4.286628271
8.910065242,4.539904997
