x,y
1.045284633,9.945218954
1.030796424,9.437835951
1.016308214,8.930452949
1.001820005,8.423069946
0.987331796,7.915686944
0.972843587,7.408303942
0.958355378,6.900920939
0.943867169,6.393537937
0.929378959,5.886154934
0.91489075,5.378771932
0.900402541,4.87138893
0.885914332,4.364005927
0.871426123,3.856622925
0.856937914,3.349239922
0.842449704,2.84185692
0.827961495,2.334473918
0.813473286,1.827090915
1.268266827,2.080263516
1.723060368,2.333436116
2.177853909,2.586608717
2.632647451,2.839781317
3.087440992,3.092953918
3.542234533,3.346126518
3.997028074,3.599299119
4.451821615,3.852471719
4.906615156,4.10564432
5.361408697,4.35881692
5.816202238,4.611989521
6.270995779,4.865162121
6.72578932,5.118334721
7.180582862,5.371507322
7.635376403,5.624679922
8.090169944,5.877852523
