x (miles),y (miles)
0.001,0.001
0.171289773,0.076263121
0.342579547,0.152526241
0.51386932,0.228789362
0.685159093,0.305052482
0.856448867,0.381315603
1.02773864,0.457578723
1.199028413,0.533841844
1.370318186,0.610104965
1.54160796,0.686368085
1.712897733,0.762631206
1.884187506,0.838894326
2.05547728,0.915157447
2.226767053,0.991420567
2.398056826,1.067683688
2.740636373,1.220209929
2.741619947,1.744735369
2.742603521,2.269260808
2.743587095,2.793786247
2.744570669,3.318311687
2.745554243,3.842837126
2.746537817,4.367362566
2.747521391,4.891888005
2.748504966,5.416413444
2.74948854,5.940938884
2.750472114,6.465464323
2.751455688,6.989989762
2.752439262,7.514515202
2.753422836,8.039040641
2.75440641,8.563566081
2.755389984,9.08809152
2.756373558,9.612616959
