x,y
0,0
0.068909339,0.240315424
0.137818678,0.480630848
0.206728017,0.720946272
0.275637356,0.961261696
0.344546695,1.20157712
0.413456034,1.441892544
0.482365373,1.682207968
0.551274712,1.922523392
0.620184051,2.162838816
0.68909339,2.40315424
0.758002728,2.643469664
0.826912067,2.883785088
0.895821406,3.124100512
0.964730745,3.364415936
1.033640084,3.60473136
1.05545227,4.229350627
1.008355116,4.61365447
0.961257963,4.997958312
0.914160809,5.382262155
0.867063656,5.766565998
0.819966502,6.150869841
0.772869349,6.535173684
0.725772195,6.919477527
0.678675042,7.30378137
0.631577888,7.688085213
0.584480735,8.072389056
0.537383581,8.456692899
0.490286428,8.840996741
0.443189274,9.225300584
0.348994967,9.99390827
