,X,Y
0,0,0
1,0.207717869,0.188414061
2,0.415435738,0.376828122
3,0.623153607,0.565242183
4,0.830871476,0.753656245
5,1.038589345,0.942070306
6,1.246307214,1.130484367
7,1.454025083,1.318898428
8,1.661742952,1.507312489
9,1.869460821,1.69572655
10,2.07717869,1.884140611
11,2.284896559,2.072554672
12,2.492614428,2.260968734
13,2.700332297,2.449382795
14,2.908050166,2.637796856
15,3.115768035,2.826210917
16,3.323485904,3.014624978
17,3.254081639,3.378773229
18,3.184677374,3.742921481
19,3.115273109,4.107069732
20,3.045868844,4.471217984
21,2.976464579,4.835366235
22,2.907060314,5.199514486
23,2.837656049,5.563662738
24,2.768251784,5.927810989
25,2.698847519,6.29195924
26,2.629443254,6.656107492
27,2.560038989,7.020255743
28,2.490634724,7.384403995
29,2.421230459,7.748552246
30,2.351826194,8.112700497
31,2.213017664,8.840997
32,3.596765286,3.165121796
33,3.870044668,3.315618615
34,4.143324049,3.466115433
35,4.416603431,3.616612251
36,4.689882813,3.767109069
37,4.963162195,3.917605888
38,5.236441577,4.068102706
39,5.509720959,4.218599524
40,5.78300034,4.369096343
41,6.056279722,4.519593161
42,6.329559104,4.670089979
43,6.602838486,4.820586797
44,6.876117868,4.971083616
45,7.149397249,5.121580434
46,7.422676631,5.272077252
47,7.695956013,5.422574071
