x,y
0,0
0.05084208,0.114193182
0.101684161,0.228386364
0.152526241,0.342579547
0.203368322,0.456772729
0.254210402,0.570965911
0.305052482,0.685159093
0.355894563,0.799352275
0.406736643,0.913545458
0.457578723,1.02773864
0.508420804,1.141931822
0.559262884,1.256125004
0.610104965,1.370318186
0.660947045,1.484511369
0.711789125,1.598704551
0.813473286,1.827090915
1.268266827,2.080263516
1.723060368,2.333436116
2.177853909,2.586608717
2.632647451,2.839781317
3.087440992,3.092953918
3.542234533,3.346126518
3.997028074,3.599299119
4.451821615,3.852471719
4.906615156,4.10564432
5.361408697,4.35881692
5.816202238,4.611989521
6.270995779,4.865162121
6.72578932,5.118334721
7.180582862,5.371507322
7.635376403,5.624679922
8.090169944,5.877852523
