x,y
0,0
0.207717869,0.188414061
0.415435738,0.376828122
0.623153607,0.565242183
0.830871476,0.753656245
1.038589345,0.942070306
1.246307214,1.130484367
1.454025083,1.318898428
1.661742952,1.507312489
1.869460821,1.69572655
2.07717869,1.884140611
2.284896559,2.072554672
2.492614428,2.260968734
2.700332297,2.449382795
2.908050166,2.637796856
3.115768035,2.826210917
3.323485904,3.014624978
3.254081639,3.378773229
3.184677374,3.742921481
3.115273109,4.107069732
3.045868844,4.471217984
2.976464579,4.835366235
2.907060314,5.199514486
2.837656049,5.563662738
2.768251784,5.927810989
2.698847519,6.29195924
2.629443254,6.656107492
2.560038989,7.020255743
2.490634724,7.384403995
2.421230459,7.748552246
2.351826194,8.112700497
2.213017664,8.840997
