x,y
0,0
0.207717869,0.188414061
0.415435738,0.376828122
0.623153607,0.565242183
0.830871476,0.753656245
1.038589345,0.942070306
1.246307214,1.130484367
1.454025083,1.318898428
1.661742952,1.507312489
1.869460821,1.69572655
2.07717869,1.884140611
2.284896559,2.072554672
2.492614428,2.260968734
2.700332297,2.449382795
2.908050166,2.637796856
3.115768035,2.826210917
3.323485904,3.014624978
3.596765286,3.165121796
3.870044668,3.315618615
4.143324049,3.466115433
4.416603431,3.616612251
4.689882813,3.767109069
4.963162195,3.917605888
5.236441577,4.068102706
5.509720959,4.218599524
5.78300034,4.369096343
6.056279722,4.519593161
6.329559104,4.670089979
6.602838486,4.820586797
6.876117868,4.971083616
7.149397249,5.121580434
7.422676631,5.272077252
7.695956013,5.422574071
