,X,Y
0,0,0
1,0.171289773,0.076263121
2,0.342579547,0.152526241
3,0.51386932,0.228789362
4,0.685159093,0.305052482
5,0.856448867,0.381315603
6,1.02773864,0.457578723
7,1.199028413,0.533841844
8,1.370318186,0.610104965
9,1.54160796,0.686368085
10,1.712897733,0.762631206
11,1.884187506,0.838894326
12,2.05547728,0.915157447
13,2.226767053,0.991420567
14,2.398056826,1.067683688
15,2.740636373,1.220209929
16,3.055062826,1.537272053
17,3.369489278,1.854334177
18,3.683915731,2.171396301
19,3.998342183,2.488458425
20,4.312768636,2.805520548
21,4.627195089,3.122582672
22,4.941621541,3.439644796
23,5.256047994,3.75670692
24,5.570474446,4.073769044
25,5.884900899,4.390831168
26,6.199327352,4.707893291
27,6.513753804,5.024955415
28,6.828180257,5.342017539
29,7.142606709,5.659079663
30,7.457033162,5.976141787
31,7.771459615,6.29320391
32,2.741619947,1.744735369
33,2.742603521,2.269260808
34,2.743587095,2.793786247
35,2.744570669,3.318311687
36,2.745554243,3.842837126
37,2.746537817,4.367362566
38,2.747521391,4.891888005
39,2.748504966,5.416413444
40,2.74948854,5.940938884
41,2.750472114,6.465464323
42,2.751455688,6.989989762
43,2.752439262,7.514515202
44,2.753422836,8.039040641
45,2.75440641,8.563566081
46,2.755389984,9.08809152
47,2.756373558,9.612616959
